long,lat,group,order,region
-87.46201,30.38968,1,1,alabama
-87.48493,30.37249,1,2,alabama
-87.52503,30.37249,1,3,alabama
-87.53076,30.33239,1,4,alabama
-87.57087,30.32665,1,5,alabama
-87.58806,30.32665,1,6,alabama
-87.59379,30.30947,1,7,alabama
-87.59379,30.28655,1,8,alabama
-87.674,30.27509,1,9,alabama
-87.81152,30.2579,1,10,alabama
-87.88026,30.24644,1,11,alabama
-87.92037,30.24644,1,12,alabama
-87.95475,30.24644,1,13,alabama
-88.00632,30.24071,1,14,alabama
-88.01778,30.25217,1,15,alabama
-88.01205,30.26936,1,16,alabama
-87.99486,30.27509,1,17,alabama
-87.95475,30.27509,1,18,alabama
-87.90318,30.28082,1,19,alabama
-87.8287,30.28655,1,20,alabama
-87.80006,30.28655,1,21,alabama
-87.80006,30.32665,1,22,alabama
-87.81724,30.34385,1,23,alabama
-87.84016,30.38395,1,24,alabama
-87.85162,30.40114,1,25,alabama
-87.87453,30.4126,1,26,alabama
-87.90318,30.42406,1,27,alabama
-87.9261,30.44698,1,28,alabama
-87.93183,30.49281,1,29,alabama
-87.94329,30.52719,1,30,alabama
-87.92037,30.56157,1,31,alabama
-87.91464,30.58449,1,32,alabama
-87.9261,30.61886,1,33,alabama
-87.92037,30.67043,1,34,alabama
-87.94902,30.69908,1,35,alabama
-87.98913,30.79075,1,36,alabama
-88.00632,30.79648,1,37,alabama
-88.01778,30.80221,1,38,alabama
-88.03497,30.79075,1,39,alabama
-88.04642,30.75638,1,40,alabama
-88.05215,30.72773,1,41,alabama
-88.05215,30.71054,1,42,alabama
-88.06361,30.68762,1,43,alabama
-88.06934,30.68189,1,44,alabama
-88.0808,30.63033,1,45,alabama
-88.0808,30.61314,1,46,alabama
-88.09799,30.60741,1,47,alabama
-88.10944,30.59595,1,48,alabama
-88.11518,30.58449,1,49,alabama
-88.10944,30.55584,1,50,alabama
-88.12091,30.48136,1,51,alabama
-88.12091,30.44125,1,52,alabama
